[     166ms] [LOG] 🔍 Browser logger active (MCP server detected). Posting to: https://muster.test/_boost/browser-logs @ https://muster.test/login:76
[  525194ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  585195ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  645196ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  705198ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  765202ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  825206ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  885205ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  945209ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[ 1005208ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[ 1065209ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[ 1125208ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[ 1185220ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[ 1245214ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[ 1305227ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
